"Date","Time","Open","High","Low","Close"
06/23/2003,09:31,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:32,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:33,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:34,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:35,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:36,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:37,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:38,989.0000,989.0000,989.0000,989.0000
06/23/2003,09:39,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:40,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:41,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:42,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:43,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:44,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:45,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:46,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:47,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:48,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:49,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:50,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:51,988.0000,988.0000,988.0000,988.0000
06/23/2003,09:52,985.7500,985.7500,985.7500,985.7500
06/23/2003,09:53,985.7500,985.7500,985.7500,985.7500
06/23/2003,09:54,985.7500,985.7500,985.7500,985.7500
06/23/2003,09:55,985.7500,985.7500,985.7500,985.7500
06/23/2003,09:56,985.7500,985.7500,985.7500,985.7500
06/23/2003,09:57,985.2500,985.2500,985.2500,985.2500
06/23/2003,09:58,986.2500,986.2500,986.2500,986.2500
06/23/2003,09:59,986.2500,986.2500,986.2500,986.2500
06/23/2003,10:00,986.2500,986.2500,986.2500,986.2500
06/23/2003,10:01,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:02,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:03,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:04,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:05,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:06,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:07,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:08,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:09,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:10,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:11,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:12,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:13,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:14,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:15,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:16,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:17,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:18,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:19,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:20,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:21,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:22,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:23,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:24,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:25,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:26,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:27,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:28,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:29,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:30,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:31,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:32,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:33,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:34,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:35,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:36,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:37,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:38,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:39,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:40,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:41,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:42,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:43,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:44,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:45,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:46,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:47,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:48,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:49,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:50,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:51,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:52,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:53,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:54,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:55,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:56,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:57,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:58,986.5000,986.5000,986.5000,986.5000
06/23/2003,10:59,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:00,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:01,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:02,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:03,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:04,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:05,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:06,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:07,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:08,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:09,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:10,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:11,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:12,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:13,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:14,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:15,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:16,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:17,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:18,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:19,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:20,986.5000,986.5000,986.5000,986.5000
06/23/2003,11:21,977.5000,977.5000,977.5000,977.5000
06/23/2003,11:22,977.5000,977.5000,977.5000,977.5000
06/23/2003,11:23,977.5000,977.5000,977.5000,977.5000
06/23/2003,11:24,977.5000,977.5000,977.5000,977.5000
06/23/2003,11:25,977.2500,977.2500,977.2500,977.2500
